Date,Open,High,Low,Close,Volume,Currency
2021-05-20,125.23,127.72,125.1,127.31,76857000,USD
2021-05-21,127.82,128.0,125.21,125.43,79295000,USD
2021-05-24,126.01,127.94,125.94,127.1,63093000,USD
2021-05-25,127.82,128.32,126.32,126.9,72009000,USD
2021-05-26,126.96,127.39,126.42,126.85,56576000,USD
2021-05-27,126.44,127.64,125.08,125.28,94626000,USD
2021-05-28,125.57,125.8,124.55,124.61,71311000,USD
2021-06-01,125.08,125.35,123.94,124.28,65184000,USD
2021-06-02,124.2,125.22,124.05,125.06,59278864,USD
2021-06-03,124.66,124.83,123.14,123.54,76229168,USD
2021-06-04,124.07,126.16,123.85,125.89,75169000,USD
2021-06-07,126.05,126.24,124.85,125.9,71057552,USD
2021-06-08,126.72,128.44,126.22,126.74,74403776,USD
2021-06-09,127.34,127.7,126.57,127.13,56877936,USD
2021-06-10,127.01,128.16,125.94,126.11,71186424,USD
2021-06-11,126.53,127.44,126.1,127.35,53522000,USD
2021-06-14,127.7,130.48,127.1,130.48,96906488,USD
2021-06-15,130.07,130.59,129.41,129.64,62746332,USD
2021-06-16,130.26,130.89,128.49,130.15,91815024,USD
2021-06-17,129.94,132.54,129.66,131.79,96721672,USD
2021-06-18,130.71,131.51,130.24,130.46,108953000,USD
2021-06-21,130.3,132.41,129.21,132.3,79663000,USD
2021-06-22,132.09,134.08,131.64,133.98,74783616,USD
2021-06-23,133.87,134.31,133.24,133.7,60214200,USD
2021-06-24,134.45,134.51,132.94,133.41,68711000,USD
2021-06-25,133.46,133.89,132.81,133.11,70784000,USD
2021-06-28,133.46,135.24,133.46,134.78,62111304,USD
2021-06-29,134.82,136.49,134.38,136.33,64556080,USD
2021-06-30,136.13,137.38,135.89,136.96,63261392,USD
2021-07-01,136.68,137.3,135.77,137.27,52485780,USD
2021-07-02,137.9,140.0,137.74,139.96,78946000,USD
2021-07-06,140.17,143.11,140.15,142.02,108181792,USD
2021-07-07,143.58,144.88,142.74,144.57,104911592,USD
2021-07-08,141.49,144.05,140.69,143.24,105575456,USD
2021-07-09,142.75,145.65,142.65,145.11,99891000,USD
2021-07-12,146.22,146.22,144.04,144.5,76299720,USD
2021-07-13,143.7,147.46,143.7,145.64,100827096,USD
2021-07-14,148.0,149.57,147.7,149.15,127050784,USD
2021-07-15,149.25,149.98,147.1,148.48,106820296,USD
2021-07-16,148.46,149.76,145.88,146.39,93251000,USD
2021-07-19,143.75,144.07,141.67,142.45,121434568,USD
2021-07-20,143.46,147.1,142.96,146.15,96350032,USD
2021-07-21,145.53,146.13,144.63,145.4,74993456,USD
2021-07-22,145.94,148.19,145.81,146.8,77338160,USD
2021-07-23,147.55,148.72,146.92,148.56,71447416,USD
2021-07-26,148.25,149.82,147.75,148.99,72434088,USD
2021-07-27,149.06,149.16,145.57,146.77,104818576,USD
2021-07-28,144.79,146.92,142.62,144.98,118931192,USD
2021-07-29,144.67,146.54,144.63,145.64,56699476,USD
2021-07-30,144.38,146.33,144.11,145.86,70441000,USD
2021-08-02,146.48,146.92,145.29,145.52,62879960,USD
2021-08-03,145.81,148.02,145.19,147.36,64786616,USD
2021-08-04,147.18,147.77,146.28,146.95,56368272,USD
2021-08-05,146.9,147.84,146.23,147.06,46397672,USD
2021-08-06,146.35,147.11,145.63,146.14,54127000,USD
2021-08-09,146.23,146.67,145.53,146.09,48908688,USD
2021-08-10,146.49,147.7,145.31,145.6,69023080,USD
2021-08-11,146.05,146.72,145.53,145.86,48358000,USD
2021-08-12,146.19,149.05,145.84,148.89,72265000,USD
2021-08-13,148.97,149.44,148.27,149.1,59375000,USD
2021-08-16,148.54,151.19,146.47,151.12,101067000,USD
2021-08-17,150.23,151.68,149.09,150.19,91714000,USD
2021-08-18,149.8,150.72,146.15,146.36,84522000,USD
2021-08-19,145.03,148.0,144.5,146.7,85917000,USD
2021-08-20,147.44,148.5,146.78,148.19,60550000,USD
2021-08-23,148.31,150.19,147.89,149.71,59081000,USD
2021-08-24,149.45,150.86,149.15,149.62,48484000,USD
2021-08-25,149.81,150.32,147.8,148.36,58872000,USD
2021-08-26,148.35,149.12,147.51,147.54,48243000,USD
2021-08-27,147.48,148.75,146.83,148.6,55802000,USD
2021-08-30,149.0,153.49,148.61,153.12,90240000,USD
2021-08-31,152.66,152.8,151.29,151.83,86189000,USD
2021-09-01,152.83,154.98,152.34,152.51,80314000,USD
2021-09-02,153.87,154.72,152.4,153.65,70906000,USD
2021-09-03,153.76,154.63,153.09,154.3,57866000,USD
2021-09-07,154.97,157.26,154.39,156.69,81668000,USD
2021-09-08,156.98,157.04,153.98,155.11,74100000,USD
2021-09-09,155.49,156.11,153.95,154.07,56206000,USD
2021-09-10,155.0,155.48,148.7,148.97,140892992,USD
2021-09-13,150.63,151.42,148.75,149.55,97785000,USD
2021-09-14,150.35,151.07,146.91,148.12,108412000,USD
2021-09-15,148.56,149.44,146.37,149.03,81631000,USD
2021-09-16,148.44,148.97,147.22,148.79,67882000,USD
2021-09-17,148.82,148.82,145.76,146.06,129869000,USD
2021-09-20,143.8,144.84,141.27,142.94,123040000,USD
